customer_id,days_as_customer,total_transactions,total_spent,days_since_last_purchase,purchase_count,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_tier,spend_quartile,recency_score,frequency_score,monetary_score,rfm_score
1,132,149,2587.4452657687357,294,149,33.86363636363636,17.36540446824655,588.0557422201672,high,Q3,1,5,3,9
2,465,55,2094.5043145061,284,55,3.5483870967741935,38.081896627383635,135.12931061329678,medium,Q2,2,2,3,7
3,890,6,392.20729162376625,277,6,0.20224719101123595,65.36788193729437,13.220470504171896,low,Q1,2,1,1,4
4,300,95,2213.9686746432913,107,95,9.5,23.304933417297804,221.39686746432912,medium,Q2,4,4,3,11
5,136,133,532.0972931400833,146,133,29.33823529411765,4.000731527369047,117.37440289854779,high,Q1,3,5,1,9
6,101,102,2054.8529554475917,99,102,30.297029702970296,20.14561721027051,610.3523630042351,high,Q2,4,4,3,11
7,730,3,2984.94607916732,73,3,0.12328767123287672,994.9820263891066,122.66901695208165,low,Q3,4,1,3,8
8,50,23,2918.1037517503287,122,23,13.799999999999999,126.87407616305777,1750.862251050197,high,Q3,4,1,3,8
9,644,53,3329.9753310911856,30,53,2.468944099378882,62.82972322813558,155.12307442971363,medium,Q3,5,2,4,11
10,151,83,521.5444643754001,188,83,16.490066225165563,6.283668245486749,103.61810550504639,high,Q1,3,3,1,7
11,496,145,3278.0100653756676,364,145,8.77016129032258,22.606965968108053,198.26673782514118,medium,Q3,1,5,4,10
12,244,85,1595.132880647413,354,85,10.450819672131148,18.76626918408721,196.1228951615672,high,Q2,1,3,2,6
13,360,78,2025.2774333787,288,78,6.5,25.965095299726922,168.773119448225,medium,Q2,2,3,3,8
14,488,110,4297.0319569173935,195,110,6.762295081967213,39.06392688106721,264.16180063016765,medium,Q4,3,4,5,12
15,117,1,94.70050044127375,156,1,0.25641025641025644,94.70050044127375,24.282179600326604,low,Q1,3,1,1,5
16,402,51,2962.642535035997,172,51,3.8059701492537314,58.09103009874504,221.09272649522364,medium,Q3,3,2,3,8
17,129,4,3013.6342014955326,335,4,0.9302325581395349,753.4085503738831,700.845163138496,low,Q3,1,1,4,6
18,901,113,2013.4658929006318,41,113,3.762486126526082,17.81828223805869,67.04103971922193,medium,Q2,5,4,3,12
19,693,32,1223.287892686264,63,32,1.3852813852813852,38.22774664644575,52.9561858305742,low,Q2,5,2,2,9
20,160,34,1211.636489394678,23,34,6.375,35.636367335137585,227.1818417615021,medium,Q1,5,2,2,9
21,691,92,4424.362864820725,360,92,3.9942112879884224,48.090900704573095,192.08521844373624,medium,Q4,1,4,5,10
22,338,95,2238.020650225145,75,95,8.431952662721892,23.558112107633104,198.6408861146578,medium,Q2,4,4,3,11
23,799,72,1687.9023467964012,48,72,2.7033792240300376,23.443088149950015,63.37555745167965,medium,Q2,5,3,2,10
24,373,39,2271.448990465445,160,39,3.136729222520107,58.24228180680628,182.69026732966046,medium,Q2,3,2,3,8
25,521,118,3363.4824872238387,313,118,6.794625719769673,28.504088874778294,193.6746153871692,medium,Q3,1,4,4,9
26,443,3,771.4950128115208,118,3,0.20316027088036115,257.1650042705069,52.245711928545425,low,Q1,4,1,1,6
27,835,123,2274.6974843080015,100,123,4.419161676646707,18.493475482178873,81.72565811885036,medium,Q2,4,5,3,12
28,415,50,2960.0276369964154,167,50,3.614457831325301,59.200552739928305,213.97790146962038,medium,Q3,3,2,3,8
29,221,12,4745.487606514597,290,12,1.6289592760180995,395.4573005428831,644.1838379884069,low,Q4,2,1,5,8
30,985,54,1300.0125212733253,156,54,1.6446700507614211,24.074305949506023,39.59428998802006,low,Q2,3,2,2,7
31,306,133,1828.2912021854156,7,133,13.039215686274511,13.746550392371546,179.2442355083741,high,Q2,5,5,2,12
32,190,57,1927.8250201159976,196,57,9.0,33.82149158098242,304.39342422884175,medium,Q2,3,2,2,7
33,489,145,3047.41388034217,56,145,8.895705521472392,21.016647450635656,186.95790676945828,medium,Q3,5,5,4,14
34,343,112,1815.8236625480083,321,112,9.795918367346939,16.212711272750074,158.8183961412252,medium,Q2,1,4,2,7
35,51,47,2690.8840302334934,193,47,27.647058823529413,57.2528517070956,1582.8729589608786,high,Q3,3,2,3,8
36,282,85,3919.8621327328956,47,85,9.042553191489361,46.11602509097524,417.00660986520165,medium,Q4,5,3,4,12
37,777,142,3541.6586908554077,148,142,5.482625482625483,24.941258386305687,136.7435787975061,medium,Q3,3,5,4,12
38,886,66,2259.5248002372987,275,66,2.234762979683973,34.235224246019676,76.50761174618393,medium,Q2,2,3,3,8
39,590,75,4327.8700794871365,157,75,3.813559322033898,57.70493439316182,220.06119048239677,medium,Q4,3,3,5,11
40,504,103,2812.7942354896213,202,103,6.1309523809523805,27.308681897957488,167.42822830295364,medium,Q3,3,4,3,10
41,88,38,2722.533905535952,126,38,12.954545454545455,71.64562909305137,928.1365587054382,high,Q3,4,2,3,9
42,540,50,219.22944139883296,305,50,2.7777777777777777,4.38458882797666,12.179413411046276,medium,Q1,1,2,1,4
43,711,98,4934.13025276795,294,98,4.135021097046414,50.348267885387244,208.19114990582068,medium,Q4,1,4,5,10
44,505,82,658.7055022216523,64,82,4.871287128712872,8.032993929532346,39.13101993395954,medium,Q1,5,3,1,9
45,729,30,1194.0980165168507,325,30,1.2345679012345678,39.80326721722836,49.139836070652294,low,Q1,1,2,2,5
46,812,79,305.89934434555846,176,79,2.91871921182266,3.8721435993108666,11.301699914244772,medium,Q1,3,3,1,7
47,219,91,3218.014685842723,116,91,12.465753424657535,35.36279874552443,440.8239295674963,high,Q3,4,4,4,12
48,987,52,1162.270826014766,204,52,1.580547112462006,22.3513620387455,35.3273807299321,low,Q1,3,2,2,7
49,716,79,941.0516654899812,321,79,3.310055865921788,11.912046398607357,39.42953905684279,medium,Q1,1,3,1,5
50,987,30,488.3501419050449,31,30,0.9118541033434651,16.278338063501497,14.843469358815955,low,Q1,5,2,1,8
51,592,106,561.3793377638776,113,106,5.371621621621621,5.2960314883384685,28.44827725154785,medium,Q1,4,4,1,9
52,905,51,2944.1199671908144,325,51,1.6906077348066297,57.72784249393754,97.59513703394964,low,Q3,1,2,3,6
53,596,81,3456.628936039647,344,81,4.077181208053691,42.67443130913145,173.99138939796882,medium,Q3,1,3,4,8
54,273,133,2017.025992898785,67,133,14.615384615384617,15.165608969163797,221.6512080108555,high,Q2,5,5,3,13
55,861,29,2425.4905538807625,75,29,1.0104529616724738,83.63760530623318,84.51186598887675,low,Q2,4,1,3,8
56,534,132,3445.5402931157714,45,132,7.415730337078651,26.10257797814978,193.56967938852648,medium,Q3,5,5,4,14
57,160,138,136.0299614181242,260,138,25.875,0.9857243581023493,25.50561776589829,high,Q1,2,5,1,8
58,514,145,1649.4967524978788,154,145,8.463035019455253,11.375839672399165,96.2741295232225,medium,Q2,3,5,2,10
59,848,74,4866.833852948215,155,74,2.617924528301887,65.76802503984075,172.17572592977177,medium,Q4,3,3,5,11
60,676,17,2921.555536992567,363,17,0.7544378698224852,171.8562080583863,129.65483152333877,low,Q3,1,1,3,5
61,50,84,1308.4116704925916,234,84,50.4,15.57632941062609,785.0470022955549,high,Q2,2,3,2,7
62,870,69,2632.563730849255,51,69,2.3793103448275863,38.153097548539925,90.77805968445708,medium,Q3,5,3,3,11
63,196,34,1746.134766198531,306,34,5.204081632653061,51.35690488819209,267.26552543855064,medium,Q2,1,2,2,5
64,303,6,2684.6126946901804,262,6,0.594059405940594,447.43544911503005,265.8032370980377,low,Q3,2,1,3,6
65,417,53,672.4204834429117,315,53,3.8129496402877696,12.687178932885127,48.375574348410915,medium,Q1,1,2,1,4
66,630,126,706.9375364054231,125,126,6.0,5.610615368297009,33.66369220978205,medium,Q1,4,5,1,10
67,345,43,760.5346920949946,245,43,3.739130434782609,17.686853304534758,66.13345148652127,medium,Q1,2,2,1,5
68,43,115,4702.107970037867,30,115,80.23255813953489,40.88789539163363,3280.540444212465,high,Q4,5,4,5,14
69,271,111,3677.8496457896417,122,111,12.287822878228782,33.13378059269947,407.1420272091854,high,Q3,4,4,4,12
70,806,80,853.7903785784885,125,80,2.977667493796526,10.672379732231105,31.778798210117436,medium,Q1,4,3,1,8
71,375,95,982.3279646397272,37,95,7.6,10.340294364628708,78.58623717117817,medium,Q1,5,4,1,10
72,594,118,3667.605900610838,170,118,5.959595959595959,31.081405937379984,185.23262124297162,medium,Q3,3,4,4,11
73,927,144,823.011031721261,124,144,4.660194174757282,5.7153543869532015,26.634661220752786,medium,Q1,4,5,1,10
74,369,8,1211.078402007402,357,8,0.6504065040650406,151.38480025092525,98.46165869978877,low,Q1,1,1,2,4
75,121,132,4818.566822460975,35,132,32.72727272727273,36.504294109552845,1194.6859890399112,high,Q4,5,5,5,15
76,396,104,1313.7672974057377,87,104,7.878787878787879,12.632377859670555,99.52782556104074,medium,Q2,4,4,2,10
77,985,132,3325.0801343371763,134,132,4.020304568527918,25.19000101770588,101.27147617270587,medium,Q3,4,5,4,13
78,484,25,4894.224872632625,196,25,1.5495867768595042,195.76899490530502,303.36104582433626,low,Q4,3,1,5,9
79,457,96,1902.7689973419735,274,96,6.301969365426697,19.820510388978892,124.90824927846654,medium,Q2,2,4,2,8
80,538,93,136.70415476720808,201,93,5.185873605947955,1.4699371480344956,7.622908258394503,medium,Q1,3,4,1,8
