column_name,data_type,description,business_meaning,example_value,related_kpi,notes
id,integer,Transaction record identifier,Unique transaction record ID in the ingestion system,1,Transaction volume,Primary key for raw transaction records
customer_id,integer,Unique customer identifier,Customer ID in CRM and billing systems,1,Customer tracking and retention,Never null in source data
customer_name,string,Full name of the customer,Customer identity for relationship and support,Alice Smith,Customer segmentation,Used for reporting and customer-level lookup
name,string,Customer display name,A shorter or alternate customer name from some source systems,Alice,Customer identity,May be duplicate of customer_name in some inputs
email,string,Customer email address,Primary customer contact email,alice@example.com,Customer outreach and retention,Key field for identity matching and notifications
signup_date,datetime,Date customer signed up,Customer acquisition date,2025-01-15,Customer acquisition rate,Recorded when customer account is created
transaction_amount,float,Transaction amount in USD,Revenue from a single sale,150.50,Monthly revenue,Recorded on transaction completion
amount,float,Transaction amount alias,Alternate field for transaction revenue,100.00,Monthly revenue,Normalized to transaction_amount for analytics
transaction_date,datetime,Date transaction occurred,When the purchase was made,2025-01-15,Sales velocity,Event date for time-based KPIs
status,string,Transaction lifecycle state,Outcome or state of the transaction,completed,Order completion rate,Values include completed/pending/failed; ambiguous without business definition
